name,site,phone,email_1,rating,reviews,type,city,state,facebook,instagram
Riverline Water Damage & Restoration,https://riverlinerestore.com,(312) 555-0148,ops@riverlinerestore.com,4.7,63,Water damage restoration service,Chicago,IL,https://facebook.com/riverline,
Summit Heating & Cooling,https://summithvacco.com,(720) 555-0199,,4.6,142,HVAC contractor,Denver,CO,,https://instagram.com/summithvac
Bayou Fire & Flood Mitigation,https://bayoumitigation.com,(504) 555-0122,help@bayoumitigation.com,4.8,29,Fire damage restoration service,New Orleans,LA,,
Servpro of Downtown,https://servpro.com/downtown,(212) 555-0170,,4.5,410,Water damage restoration service,New York,NY,,
Cornerstone Air Conditioning,,(602) 555-0133,info@cornerstoneac.com,4.4,18,Air conditioning repair service,Phoenix,AZ,,
Sunrise Bakery,https://sunrisebakes.com,(415) 555-0111,hi@sunrisebakes.com,4.9,220,Bakery,San Francisco,CA,,https://instagram.com/sunrisebakes
Anchor Restoration Group,https://anchorrestoration.co,(206) 555-0155,team@anchorrestoration.co,4.6,88,Damage restoration service,Seattle,WA,https://facebook.com/anchorrestore,https://instagram.com/anchorrestore
Northgate HVAC & Furnace Repair,https://northgatehvac.com,(651) 555-0177,,4.3,51,Heating contractor,St Paul,MN,,
Ghost Listing Restoration,,,,,,Water damage restoration service,Austin,TX,,
Peak Climate Control Co,https://peakclimate.com,(801) 555-0188,sales@peakclimate.com,4.7,7,Air conditioning contractor,Salt Lake City,UT,,
